ImageID	filename	brightness_median	brightness_stdev	saturation_median	saturation_stdev	hue_median	hue_stdev	ManuscriptID	NameID	Name	Digitized in Rose Digital Library	Online Repository	Digital Manuscript Link	Country	Locality	Institution	Shelfmark	Latitude	Longitude	PlaceID	Origin	Material	Number of folios	Height mm	Width mm	Area mm	Leaves per gathering	Lines per column	Number of illustrations	Date start	Date end	DateCombined	Columns per folio	Texts	Folios with 1 illustration	Folios with More than 1 illustration	Folios with at least one illustration	Folios with at least one illustration	Shelfmark	Olim		Langlois	Notes
Man073_f025	Man073_f025.JPEG	195	37.6887	90	29.189	29	9.6867	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f026	Man073_f026.JPEG	202	37.9274	85	24.8395	27	26.1872	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f027	Man073_f027.JPEG	196	37.4523	82	32.1673	29	20.2317	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f028	Man073_f028.JPEG	193	38.838	90	28.8635	28	9.8587	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f029	Man073_f029.JPEG	204	34.1594	93	27.6482	27	26.1307	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f030	Man073_f030.JPEG	206	27.8407	82	28.6406	30	8.4287	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f031	Man073_f031.JPEG	196	35.718	77	29.9517	29	13.1695	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f032	Man073_f032.JPEG	197	36.239	68	23.6871	28	27.9588	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f033	Man073_f033.JPEG	209	36.8299	63	23.1876	30	8.3424	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f034	Man073_f034.JPEG	201	36.1888	68	27.4489	29	13.4018	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f035	Man073_f035.JPEG	214	33.3271	64	24.171	29	28.5284	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
Man073_f036	Man073_f036.JPEG	198	33.5629	82	31.7539	28	15.0093	Man073	Francais12587	Franﾌ､ais 12587	y	Gallica	http://gallica.bnf.fr/ark:/12148/btv1b60003422/f1.vertical	France	Paris	Biblioth述ue nationale de France (BnF)	fr. 12587	48.833584	2.375766	Pl35	France	parchment	165	300	205	61500		34	23	1300	1400	1300_1400	2	1	19	2	21	21	fr. 12587		N	Y	
